Year,Quarter,Cars,Motorcycles,Light.Goods.Vehicles,Heavy.Goods.Vehicles,Total.Goods.Vehicles,Buses.and.coaches,Other.vehicles1,Total
1994,1,21034.076,782.61,2137.653,420.906,2579.783,155.892,615.47,25167.831000000002
1994,2,21034.076,782.61,2137.653,420.906,2579.783,155.892,615.47,25167.831000000002
1994,3,21243.972,784.44,2137.653,420.906,2591.269,156.376,620.487,25396.544
1994,4,21199.203,720.922,2137.653,420.906,2558.5589999999997,153.74,599.027,25231.451
1995,1,21230.659,706.47,2122.774,422.869,2561.896,153.796,609.997,25262.818
1995,2,21458.271,771.013,2122.774,422.869,2601.137,157.16,616.855,25604.436
1995,3,21459.979,749.601,2122.774,422.869,2576.478,154.568,571.6,25512.226
1995,4,21394.103,702.493,2122.774,422.869,2545.643,153.465,573.649,25369.353
1996,1,22007.386,784.854,2173.878,429.902,2609.702,158.555,572.659,26133.156
1996,2,22007.386,784.854,2173.878,429.902,2609.702,158.555,572.659,26133.156
1996,3,22227.358,801.438,2173.878,429.902,2621.273,159.754,570.818,26380.641
1996,4,22237.538,738.756,2173.878,429.902,2603.78,157.638,564.209,26301.921000000002
1997,1,22298.305,734.838,2231.181,435.999,2604.876,157.061,558.95,26354.03
1997,2,22526.316,806.254,2231.181,435.999,2642.07,160.538,558.558,26693.735999999997
1997,3,22808.761,820.319,2231.181,435.999,2666.936,161.553,560.903,27018.471999999998
1997,4,22831.698,752.357,2231.181,435.999,2667.18,160.721,561.834,26973.79
1998,1,22984.335,769.226,2278.027,440.824,2689.266,161.034,561.647,27165.507999999998
1998,2,23207.61,856.245,2278.027,440.824,2733.54,163.392,560.434,27521.221
1998,3,23427.761,881.943,2278.027,440.824,2750.184,164.605,560.913,27785.406
1998,4,23293.332,813.784,2278.027,440.824,2718.851,161.312,551.136,27538.414999999997
1999,1,23458.476,859.442,2342.16,459.184,2740.302,162.561,549.512,27770.292999999998
1999,2,23725.847,930.452,2342.16,459.184,2779.949,165.024,553.138,28154.410000000003
1999,3,23974.937,889.364,2342.16,459.184,2801.344,168.121,533.794,28367.56
1999,4,23974.937,889.364,2342.16,459.184,2801.344,168.121,533.794,28367.56
2000,1,24167,895.973,2382.59,471.481,2824.212,169.961,524.566,28581.712
2000,2,24278.633,990.588,2382.59,471.481,2856.303,173.716,526.286,28825.526
